    ALARCON;(-73.121137, 7.126466)
*   (complejo de aptos) ALTOS DE CABECERA;7.129179,-73.110065
    ALVAREZ;7.127747,-73.109143
    ANTIGUO CAMPESTRE;7.110141,-73.111155 
    ANTONIA SANTOS;7.12295,-73.11947
    BOLARQUI;(-73.114022, 7.111366)
    BOLIVAR;(-73.118091, 7.118549)
*   (no aparece) CABECERA;
    CABECERA DEL LLANO;(-73.106735, 7.119319)
    CAFE MADRID;(-73.140815, 7.161674)
    CAMPO HERMOSO;(-73.138814, 7.104936)
    CENTRO;(-73.125493, 7.120003)
    CHAPINERO;(-73.171805, 7.101463)
    (fuera de bucaramanga) CHIMITA; 7.141429, -73.065484
    CHORRERAS DE DON JUAN
    CIUDAD BOLIVAR
    CIUDADELA REAL DE MINAS
*   (solo existe ciudadela real de minas) REAL DE MINAS
    (aparecen jardines de) COAVICONSA
    CONUCOS
    DIAMANTEN I
    SAN LUIS
    DIAMANTE II
    ASTURIAS
    EL PORVENIR
    EL PRADO
    EL TEJAR
*   (no aparece) PORTON DEL TEJAR
    FONTANA
    GAITAN
    GALAN
    GARCIA ROVIRA
    GIRARDOT
    (creado como granadas) GRANADA
    KENNEDY
    LA AURORA
    LA CEIBA
    LA CONCORDIA
    LA FLORESTA
    LA SALLE
    LA VICTORIA
    LA UNIVERSIDAD
    LAGOS DEL CACIQUE
    LAS DELICIAS
    LAS HAMACAS
    LOS CEDROS
    LOS NARANJOS
    MEJORAS PUBLICAS
    MODELO
    MUTUALIDAD
*   (urbanización no barrio) NUEVA FONTANA
    NUEVO SOTOMAYOR
*   (hay muchas opciones no se sabe cual puede ser) PORVENIR
    PROVENZA
    PUERTA DEL SOL
*   (no se reconoce) QUINTA DANIA
    RICAURTE
    LOS PINOS
    SAN ALONSO
    SAN FRANCISCO
    SAN RAFAEL
    SOTOMAYOR
    TERRAZAS
    TOLEDO PLATA
    UNIVERSIDAD
VIVEROS DE PROVENZA

VENADO DE ORO,(-73.106755, 7.130614)
N.N.,(-73.098583, 7.108563)
CONJUNTO RESIDENCIAL LA HACIENDA,(-73.10676, 7.119597)
C. BALCON DE LAS AMERICAS,(-73.10606, 7.128681)
BALCON DE LAS AMERICAS,(-73.105721, 7.128253)
TERRAZAS,(-73.10518, 7.112109)
ALBANIA,(-73.105822, 7.131532)
JARDIN,(-73.105091, 7.1158)
UNIDAD RESIDENCIAL CANTABRIA I ETAPA,(-73.105913, 7.125986)
UNIDAD RESIDENCIAL CANTABRIA II ETAPA,(-73.105636, 7.126945)
CONJUNTO RESIDENCIAL TORRES DEL PORTON,(-73.105795, 7.097008)
N.N.,(-73.102749, 7.12474)
MIRAFLORES,(-73.104334, 7.131325)
URBANIZACION DEL TEJAR I SECTOR,(-73.104844, 7.094888)
CONJUNTO RESIDENCIAL MIRADOR DEL CACIQUE,(-73.104262, 7.097014)
BUENOS AIRES,(-73.100915, 7.131597)
ALTOS DEL JARDIN,(-73.104687, 7.118077)
URBANIZACION PORTAL DEL CACIQUE,(-73.103471, 7.099478)
URBANIZACION EL GIRASOL,(-73.10402, 7.096195)
LOS CEDROS,(-73.103371, 7.118576)
MIRADOR DEL CACIQUE,(-73.103501, 7.09853)
URBANIZACION BALCON DEL TEJAR,(-73.10372, 7.095071)
PAN DE AZUCAR,(-73.102395, 7.114811)
LAGOS DEL CACIQUE,(-73.099694, 7.10355)
CONJUNTO RESIDENCIAL ALTOS DEL TEJAR,(-73.102721, 7.096036)
CONJUNTO RESIDENCIAL CACIQUE IMPERIAL,(-73.102584, 7.101018)
CONJUNTO RESIDENCIAL HACIENDA DEL CACIQUE,(-73.10249, 7.10169)
QUINTAS DEL CACIQUE,(-73.101479, 7.102281)
PRADOS DE SANTA BARBARA,(-73.102469, 7.097475)
CONJUNTO RESIDENCIAL TESORO DEL CACIQUE,(-73.101829, 7.099976)
LIMONCITO I,(-73.100995, 7.133611)
URBANIZACION QUINTAS DEL CACIQUE,(-73.101063, 7.101392)
PALMERAS DEL CACIQUE,(-73.099659, 7.099613)
C. VILLA LAGO,(-73.100858, 7.105455)
CONDOMINIO ALTOS DE CANTARELA,(-73.099853, 7.105524)
BUENAVISTA,(-73.096032, 7.128591)
PIEDEMONTE,(-73.098774, 7.100098)
CONDOMINIO CAMPESTRE VALLADOLID,(-73.096184, 7.105292)
PARQUE DEL CACIQUE,(-73.094572, 7.102719)
